Date;Mois;Contrepartie;Montant (€);Source;Type;Catégorie;Matched mot_clé;Matched type_condition
2022-10-27 00:00:00;2022-10;À HFG;-1000000.0;Revolut;TRANSFER;intracomm;HFG;
2022-10-28 00:00:00;2022-10;À RAIZERS;-55000.0;Revolut;TRANSFER;Crowdfunding;Raizers;
2022-10-28 09:54:13;2022-10;HFG;1000000.0;Qonto;;intracomm;HFG;
2022-10-30 00:00:00;2022-10;À Nexo;-100000.0;Revolut;TRANSFER;crypto;Nexo;
2022-11-01 03:03:49;2022-11;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-11-01 10:53:56;2022-11;SCI   PRIMOPIERRE;1548.82;Qonto;;SCPI;PRIMOPIERRE;
2022-11-09 00:00:00;2022-11;Recharge par Nexo AG;99000.0;Revolut;TOPUP;crypto;Nexo;TOPUP
2022-11-11 11:46:39;2022-11;CORUM EURION;710.68;Qonto;;SCPI;CORUM EURION;
2022-11-15 00:00:00;2022-11;À HFG;-500000.0;Revolut;TRANSFER;intracomm;HFG;
2022-11-15 14:47:46;2022-11;HFG;500000.0;Qonto;;intracomm;HFG;
2022-11-22 06:19:03;2022-11;CORUM ASSET MANAGEMENT;-99975.0;Qonto;;SCPI;CORUM ASSET MANAGEMENT;
2022-11-24 00:00:00;2022-11;À HFG;-300000.0;Revolut;TRANSFER;intracomm;HFG;
2022-11-24 00:00:00;2022-11;Remarkable;-587.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2022-11-24 06:14:14;2022-11;EFIMMO 1;-100014.0;Qonto;;SCPI;EFIMMO;
2022-11-25 00:00:00;2022-11;Ristorante Dino;-36.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2022-11-25 06:20:24;2022-11;IMMORENTE  SCPI;-199920.0;Qonto;;SCPI;IMMORENTE;
2022-11-25 10:52:16;2022-11;HFG;300000.0;Qonto;;intracomm;HFG;
2022-12-01 03:03:46;2022-12;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-12-02 00:00:00;2022-12;Daikichi        2471049;-33.5;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2022-12-02 00:00:00;2022-12;Le 41;-15.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2022-12-09 00:00:00;2022-12;Ristorante Dino;-37.5;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2022-12-13 12:29:18;2022-12;CORUM EURION;632.89;Qonto;;SCPI;CORUM EURION;
2022-12-15 00:00:00;2022-12;Chez Livio      2700084;-64.6;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2022-12-16 06:35:00;2022-12;DIRECTION GENERALE DES FINANCES PUBLIQUES;-70.0;Qonto;;FdS;DIRECTION GENERALE DES FINANCES PUBLIQUES;
2022-12-22 06:17:49;2022-12;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-20000.0;Qonto;;Crowdfunding;CLUBFUNDING - FINANCEMENT PARTICIPATIF;
2022-12-22 16:14:08;2022-12;PERSPECTIVES ADVISORY;6543.0;Qonto;;Conseil;PERSPECTIVES ADVISORY;
2022-12-26 09:07:41;2022-12;M BIBOUM NYEMB ITIBI JOSEPH;3600.0;Qonto;;Conseil;M BIBOUM NYEMB ITIBI JOSEPH;
2022-12-27 00:00:00;2022-12;La Poste Boutiqu;-9.05;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2022-12-28 06:17:06;2022-12;GENERALI VIE SA;-500000.0;Qonto;;Contrat de capitalisation;GENERALI VIE SA;
2022-12-28 06:20:27;2022-12;GENERALI VIE SA;-200000.0;Qonto;;Contrat de capitalisation;GENERALI VIE SA;
2023-01-01 03:03:43;2023-01;Qonto;-10.8;Qonto;;FdS;Qonto;
2023-01-02 06:20:54;2023-01;SCPI EPARGNE PIERRE;-100048.0;Qonto;;SCPI;EPARGNE PIERRE;
2023-01-10 00:00:00;2023-01;Rotonde Muette;-14.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-01-10 00:00:00;2023-01;Sumup  *taxis Parisiennes;-12.3;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-01-10 06:31:50;2023-01;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-100000.0;Qonto;;Crowdfunding;CLUBFUNDING - FINANCEMENT PARTICIPATIF;
2023-01-11 00:00:00;2023-01;La Poste Boutiqu;-9.35;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-01-11 12:11:58;2023-01;CORUM EURION;678.08;Qonto;;SCPI;CORUM EURION;
2023-01-22 00:00:00;2023-01;La Favorite;-54.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-01-25 00:00:00;2023-01;Gandi;-17.95;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-01-26 06:25:50;2023-01;ALTAROC GLOBAL 2022 FPCI - COLLECTE;-17201.37;Qonto;;PE;ALTAROC GLOBAL 2022 FPCI - COLLECTE;
2023-01-30 11:37:01;2023-01;SCPI EPARGNE PIERRE;2057.7;Qonto;;SCPI;EPARGNE PIERRE;
2023-01-30 12:13:41;2023-01;QIVALIO;6468.0;Qonto;;Conseil;QIVALIO;
2023-01-31 00:00:00;2023-01;Nespresso France S.a.s.;-100.56;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-02-01 00:00:00;2023-02;Mj Bo Zinc;-8.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-02-01 03:03:38;2023-02;Qonto;-10.8;Qonto;;FdS;Qonto;
2023-02-01 11:24:47;2023-02;SCI   PRIMOPIERRE;240.5;Qonto;;SCPI;PRIMOPIERRE;
2023-02-01 11:29:20;2023-02;SCI   PRIMOPIERRE;1952.86;Qonto;;SCPI;PRIMOPIERRE;
2023-02-01 12:18:27;2023-02;M BIBOUM NYEMB ITIBI JOSEPH;1200.0;Qonto;;Conseil;M BIBOUM NYEMB ITIBI JOSEPH;
2023-02-02 00:00:00;2023-02;New Coulisses   4789936;-50.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-02-02 00:00:00;2023-02;Passy;-89.97;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-02-02 15:30:21;2023-02;QIVALIO;1200.0;Qonto;;Conseil;QIVALIO;
2023-02-03 00:00:00;2023-02;Monoprix Plus;-281.3;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-02-04 00:00:00;2023-02;Pk Ptversail Ca;-13.95;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-02-05 00:00:00;2023-02;Gr Epicerie 16  4704771;-7.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-02-07 00:00:00;2023-02;Sncf Internet;-39.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
