Date de la valeur (UTC);Nom de la contrepartie;Montant total (TTC)
06-08-2024 07:42:15;SAS INFINI CAPITAL;240,30
06-08-2024 07:13:18;SAS GDG HOLDCO FRAGONARD FP;166,60
06-08-2024 07:11:49;SAS BVI.EU FINANCE  FP;166,60
06-08-2024 06:10:16;Alan;-102,00
05-08-2024 08:04:12;LES SHERPAS;2400,00
01-08-2024 16:27:39;Geoffrey RAIA;-4000,00
01-08-2024 16:08:39;ARIA;19788,00
01-08-2024 16:07:54;ARIA;7566,00
01-08-2024 10:27:21;Cuvelier Fauvarque;-1643,47
01-08-2024 07:42:33;SAS CASALINA  FP;30000,00
01-08-2024 07:42:30;SAS CASALINA  FP;498,90
31-07-2024 14:31:54;SCI   PRIMOPIERRE;1731,60
29-07-2024 07:14:40;SCPI IMMORENTE;2063,88
29-07-2024 07:12:33;EFIMMO 1;949,50
25-07-2024 05:39:44;MALAKOFF HUMANIS;-352,80
24-07-2024 06:58:20;SCPI EPARGNE PIERRE;3175,92
24-07-2024 06:05:20;DGFIP;-6146,00
23-07-2024 05:43:34;DGFIP;-448,00
19-07-2024 12:02:22;PERSPECTIVES ADVISORY;1290,00
17-07-2024 05:30:04;ALTAROC ODYSSEY 2024 FPCI - COLLECTE;-12000,00
16-07-2024 15:39:53;URSSAF D'ILE DE FRANCE;-1685,00
16-07-2024 14:37:23;Mangopay;952,38
11-07-2024 14:00:36;CORUM EURION;1089,43
08-07-2024 07:27:17;SAS BVI.EU FINANCE  FP;166,60
08-07-2024 07:26:48;SAS INFINI CAPITAL;240,30
08-07-2024 07:25:44;SAS GDG HOLDCO FRAGONARD FP;166,60
08-07-2024 07:22:05;SAS SGM PERSEPHONE FP;166,60
05-07-2024 07:26:20;FRENCH PAYROLL EXPERT / Thomas Bidou;-126,00
04-07-2024 05:47:03;Alan;-102,00
02-07-2024 10:28:17;Qonto;-116,48
01-07-2024 16:26:27;Qonto;-13,20
01-07-2024 13:52:01;LES SHERPAS;2400,00
27-06-2024 07:00:25;Mangopay;23074,11
25-06-2024 19:03:03;Guichar Jean-Philippe;-2263,05
25-06-2024 18:58:25;PATRIMOINE SUR MESURE;-17388,00
25-06-2024 18:57:08;AURELIA DURAND DESIGN STUDIO;-4840,50
25-06-2024 18:55:07;Geoffrey RAIA;-6000,00
25-06-2024 18:40:25;FINSTART;31137,00
20-06-2024 10:24:30;LES SHERPAS;2400,00
19-06-2024 05:11:20;DGFIP;-1435,00
18-06-2024 05:42:10;URSSAF D ILE DE FRANCE;-10,00
11-06-2024 14:45:59;CORUM EURION;919,13
10-06-2024 07:15:52;SAS GDG HOLDCO FRAGONARD FP;166,60
10-06-2024 07:14:20;SAS CASALINA  FP;275,10
10-06-2024 07:14:02;SAS SGM PERSEPHONE FP;166,60
10-06-2024 07:07:07;SAS BVI.EU FINANCE  FP;166,60
10-06-2024 07:03:24;SAS INFINI CAPITAL;240,30
06-06-2024 05:53:29;Alan;-102,00
04-06-2024 05:39:51;EPARGNE PIERRE EUROPE;-100000,00
03-06-2024 10:10:59;BLOOM - PBA;-10127,76
01-06-2024 16:15:30;Qonto;-13,20
30-05-2024 12:00:24;PATRIMOINE SUR MESURE;-17388,00
30-05-2024 11:59:06;PATRIMOINE SUR MESURE;-17388,00
28-05-2024 07:02:16;Mangopay;6794,47
28-05-2024 05:29:56;LBO - FONDS FCPR WCS3;-20000,00
24-05-2024 08:03:13;Geoffrey RAIA;-8000,00
16-05-2024 13:52:14;LES SHERPAS;2400,00
16-05-2024 07:22:28;ARIA;15132,00
16-05-2024 07:14:06;ARIA;19788,00
16-05-2024 06:19:20;URSSAF D'ILE DE FRANCE;-10,00
15-05-2024 14:18:11;Mangopay;12889,69
13-05-2024 07:25:02;CORUM EURION;867,12
08-05-2024 06:48:24;SAS CASALINA  FP;275,10
08-05-2024 06:47:43;SAS BVI.EU FINANCE  FP;166,60
08-05-2024 06:46:45;SAS INFINI CAPITAL;240,30
08-05-2024 06:45:56;SAS GDG HOLDCO FRAGONARD FP;166,60
08-05-2024 06:45:53;SAS SGM PERSEPHONE FP;166,60
07-05-2024 06:06:00;Alan;-102,00
02-05-2024 16:36:42;AURELIA DURAND DESIGN STUDIO;-8159,70
02-05-2024 14:26:40;ARIA;19788,00
02-05-2024 09:54:20;Geoffrey RAIA;-8400,00
02-05-2024 07:43:22;SCI   PRIMOPIERRE;1731,60
01-05-2024 16:06:17;Qonto;-13,20
30-04-2024 13:59:37;ARIA;15888,60
24-04-2024 14:25:08;Mangopay;2983,33
24-04-2024 07:34:21;EFIMMO 1;949,50
24-04-2024 07:32:34;SCPI IMMORENTE;2063,88
24-04-2024 07:00:01;SCPI EPARGNE PIERRE;300,75
24-04-2024 06:57:33;SCPI EPARGNE PIERRE;3175,92
22-04-2024 14:55:15;PERSPECTIVES ADVISORY;1860,00
22-04-2024 08:50:20;MISSION SPORT & SANTE;-350,00
22-04-2024 05:49:33;ALTAROC GLOBAL 2022 FPCI - COLLECTE;-10000,00
22-04-2024 05:48:42;ALTAROC GLOBAL 2023 FPCI - COLLECTE;-10000,00
16-04-2024 05:10:48;URSSAF D'ILE DE FRANCE;-10,00
11-04-2024 14:35:31;CORUM EURION;922,85
09-04-2024 08:23:29;HISCOX SA HISCOX SA;-242,50
09-04-2024 08:17:29;SAS GDG HOLDCO FRAGONARD FP;166,60
09-04-2024 08:14:09;Alan;-102,00
09-04-2024 08:12:30;SAS INFINI CAPITAL;240,30
09-04-2024 07:53:37;SAS SGM PERSEPHONE FP;166,60
09-04-2024 07:19:16;SAS CASALINA  FP;275,10
09-04-2024 07:01:33;SAS BVI.EU FINANCE  FP;166,60
05-04-2024 15:35:03;LES SHERPAS;2400,00
04-04-2024 09:20:49;PATRIMOINE SUR MESURE;-17388,00
04-04-2024 09:18:45;Geoffrey RAIA;-8400,00
04-04-2024 08:04:19;FINSTART;35676,60
02-04-2024 09:03:43;FRENCH PAYROLL EXPERT / Thomas Bidou;-126,00
01-04-2024 15:57:00;Qonto;-13,20
25-03-2024 20:06:29;Caisse de Retraite;-996,61
21-03-2024 13:20:36;COGEA Conseil;-683,47
19-03-2024 16:58:18;LES SHERPAS;2400,00
18-03-2024 06:58:22;URSSAF D ILE DE FRANCE;-10,00
15-03-2024 07:01:33;DGFIP;-1435,00
12-03-2024 12:12:57;CORUM EURION;824,13
08-03-2024 11:35:44;SAS SGM PERSEPHONE FP;166,60
08-03-2024 11:34:41;SAS CASALINA  FP;275,10
08-03-2024 11:34:28;SAS BVI.EU FINANCE  FP;166,60
08-03-2024 11:33:23;SAS INFINI CAPITAL;240,30
08-03-2024 11:20:05;SAS GDG HOLDCO FRAGONARD FP;166,60
06-03-2024 06:55:12;Alan;-102,00
06-03-2024 00:04:14;OPCO ATLAS;-30,00
05-03-2024 11:29:30;Mangopay;1361,59
01-03-2024 15:57:36;Qonto;-13,20
27-02-2024 16:04:21;Geoffrey RAIA;-6800,00
28-02-2024 08:06:15;PATRIMOINE SUR MESURE;-17388,00
27-02-2024 15:45:50;FINSTART;32650,20
23-02-2024 16:48:55;OPCO ATLAS;30,00
21-02-2024 00:03:45;OPCO ATLAS;-30,00
18-02-2024 22:25:01;Roundtable Fr Topco 11;-10000,00
16-02-2024 08:35:11;URSSAF D'ILE DE FRANCE;-10,00
15-02-2024 17:00:16;LES SHERPAS;2400,00
13-02-2024 11:58:06;CORUM EURION;818,48
08-02-2024 11:46:21;SAS CASALINA  FP;275,10
08-02-2024 11:14:01;SAS INFINI CAPITAL;240,30
08-02-2024 11:11:09;SAS GDG HOLDCO FRAGONARD FP;166,60
08-02-2024 11:11:09;SAS BVI.EU FINANCE  FP;166,60
08-02-2024 11:08:16;SAS SGM PERSEPHONE FP;166,60
06-02-2024 06:29:50;Alan;-102,00
05-02-2024 19:48:36;MISSION SPORT & SANTE;-350,00
01-02-2024 15:57:54;Qonto;-13,20
01-02-2024 11:32:33;SCI   PRIMOPIERRE;1616,16
29-01-2024 11:23:12;SCPI EPARGNE PIERRE;3681,18
25-01-2024 17:55:08;PERSPECTIVES ADVISORY;1530,00
25-01-2024 11:06:39;EFIMMO 1;67,52
25-01-2024 11:03:52;SCPI IMMORENTE;2775,36
25-01-2024 11:03:40;EFIMMO 1;1059,22
23-01-2024 06:47:45;DGFIP;-1047,00
16-01-2024 06:37:03;URSSAF D'ILE DE FRANCE;-3068,00
12-01-2024 11:09:02;PATRIMOINE SUR MESURE;1200,00
11-01-2024 14:58:38;CORUM EURION;990,10
10-01-2024 15:00:30;ETHIFINANCE SAS;7200,00
09-01-2024 11:15:16;SAS INFINI CAPITAL;240,30
09-01-2024 11:13:57;SAS SGM PERSEPHONE FP;166,60
09-01-2024 11:12:16;SAS BVI.EU FINANCE  FP;166,60
09-01-2024 11:09:06;SAS GDG HOLDCO FRAGONARD FP;166,60
09-01-2024 11:07:13;SAS CASALINA  FP;275,10
08-01-2024 09:40:20;FRENCH PAYROLL EXPERT / Thomas Bidou;-84,00
04-01-2024 06:28:59;Alan;-102,00
02-01-2024 16:46:15;LES SHERPAS;2400,00
01-01-2024 15:54:26;Qonto;-13,20
29-12-2023 06:06:29;DGFIP;-4578,00
27-12-2023 06:07:33;DIRECTION GENERALE DES FINANCES PUBLIQUES;-73,00
22-12-2023 10:41:24;Guichar Jean-Philippe;-4491,56
18-12-2023 18:16:24;Roundtable - NewCo 51;117,00
18-12-2023 11:07:49;EFIMMO 1;312,28
18-12-2023 07:20:44;URSSAF D ILE DE FRANCE;-4,00
18-12-2023 08:02:45;Roundtable - NewCo 51;-2000,00
14-12-2023 16:47:13;LES SHERPAS;2400,00
12-12-2023 11:21:58;CORUM EURION;1007,88
08-12-2023 11:13:48;SAS GDG HOLDCO FRAGONARD FP;166,60
08-12-2023 11:13:43;SAS CASALINA  FP;275,10
08-12-2023 11:03:53;SAS SGM PERSEPHONE FP;166,60
08-12-2023 11:01:16;SAS BVI.EU FINANCE  FP;166,60
08-12-2023 11:01:10;SAS INFINI CAPITAL;240,30
07-12-2023 11:22:24;PATRIMOINE SUR MESURE;1200,00
06-12-2023 06:44:08;Alan;-37,40
01-12-2023 15:54:33;Qonto;-13,20
01-12-2023 11:09:51;PATRIMOINE SUR MESURE;1200,00
23-11-2023 11:01:11;Mangopay;10715,06
21-11-2023 16:47:32;LES SHERPAS;2400,00
13-11-2023 11:12:17;CORUM EURION;850,67
08-11-2023 11:08:12;SAS SGM PERSEPHONE FP;166,60
08-11-2023 11:08:00;SAS BVI.EU FINANCE  FP;166,60
08-11-2023 11:07:28;SAS INFINI CAPITAL;240,30
08-11-2023 11:05:31;SAS GDG HOLDCO FRAGONARD FP;166,60
08-11-2023 10:55:12;SAS CASALINA  FP;275,10
01-11-2023 18:05:46;Roundtable Fr Topco 4;-10000,00
01-11-2023 15:54:41;Qonto;-13,20
01-11-2023 11:04:46;SCI   PRIMOPIERRE;1616,16
01-11-2023 08:08:14;HYMAG'IN INVEST - Compte courant;-10024,00
31-10-2023 10:55:22;Mangopay;18628,96
27-10-2023 11:30:51;PERSPECTIVES ADVISORY;1395,00
