ID_invest;Classe d actif;Plateforme;Nom;Support;Date prevue;Type de flux;Montant attendu;TVA;Devise;Commentaire
8;SCPI;CORUM;EURION;part;01/04/2029;in_loyer_scpi;834;0;EUR;2029-04
8;SCPI;CORUM;EURION;part;01/05/2029;in_loyer_scpi;834;0;EUR;2029-05
8;SCPI;CORUM;EURION;part;01/06/2029;in_loyer_scpi;834;0;EUR;2029-06
8;SCPI;CORUM;EURION;part;01/07/2029;in_loyer_scpi;834;0;EUR;2029-07
8;SCPI;CORUM;EURION;part;01/08/2029;in_loyer_scpi;834;0;EUR;2029-08
8;SCPI;CORUM;EURION;part;01/09/2029;in_loyer_scpi;834;0;EUR;2029-09
8;SCPI;CORUM;EURION;part;01/10/2029;in_loyer_scpi;834;0;EUR;2029-10
8;SCPI;CORUM;EURION;part;01/11/2029;in_loyer_scpi;834;0;EUR;2029-11
8;SCPI;CORUM;EURION;part;01/12/2029;in_loyer_scpi;834;0;EUR;2029-12
8;SCPI;CORUM;EURION;part;01/01/2030;in_loyer_scpi;834;0;EUR;2030-01
8;SCPI;CORUM;EURION;part;01/02/2030;in_loyer_scpi;834;0;EUR;2030-02
8;SCPI;CORUM;EURION;part;01/03/2030;in_loyer_scpi;834;0;EUR;2030-03
8;SCPI;CORUM;EURION;part;01/04/2030;in_loyer_scpi;834;0;EUR;2030-04
8;SCPI;CORUM;EURION;part;01/05/2030;in_loyer_scpi;834;0;EUR;2030-05
8;SCPI;CORUM;EURION;part;01/06/2030;in_loyer_scpi;834;0;EUR;2030-06
8;SCPI;CORUM;EURION;part;01/07/2030;in_loyer_scpi;834;0;EUR;2030-07
8;SCPI;CORUM;EURION;part;01/08/2030;in_loyer_scpi;834;0;EUR;2030-08
8;SCPI;CORUM;EURION;part;01/09/2030;in_loyer_scpi;834;0;EUR;2030-09
8;SCPI;CORUM;EURION;part;01/10/2030;in_loyer_scpi;834;0;EUR;2030-10
8;SCPI;CORUM;EURION;part;01/11/2030;in_loyer_scpi;834;0;EUR;2030-11
8;SCPI;CORUM;EURION;part;01/12/2030;in_loyer_scpi;834;0;EUR;2030-12
8;SCPI;CORUM;EURION;part;01/06/2023;in_loyer_scpi;831,33;0;EUR;2023-06
8;SCPI;CORUM;EURION;part;01/03/2024;in_loyer_scpi;824,13;0;EUR;2024-03
8;SCPI;CORUM;EURION;part;01/08/2023;in_loyer_scpi;818,96;0;EUR;2023-08
8;SCPI;CORUM;EURION;part;01/02/2024;in_loyer_scpi;818,48;0;EUR;2024-02
20;Crowdlending;Raizers;Gambetta par MV INVEST;obligation;01/07/2025;in_remboursement_capital;800;0;EUR;-
34;Crowdlending;Raizers;Villa Sainte-Anne par Fonciere Emeraude;obligation;04/07/2023;in_versement_interet;750;0;EUR;-
8;SCPI;CORUM;EURION;part;01/09/2022;in_loyer_scpi;748,51;0;EUR;2022-09
8;SCPI;CORUM;EURION;part;01/04/2023;in_loyer_scpi;743,36;0;EUR;2023-04
33;Crowdlending;Raizers;Villa Mougine par Art & Stone;obligation;06/11/2023;in_versement_interet;715,05;0;EUR;-
8;SCPI;CORUM;EURION;part;01/10/2022;in_loyer_scpi;713,63;0;EUR;2022-10
8;SCPI;CORUM;EURION;part;01/11/2022;in_loyer_scpi;710,68;0;EUR;2022-11
22;Crowdlending;Raizers;Hameau du Lac par Nature et Residence;obligation;11/10/2022;in_versement_interet;700;0;EUR;-
11;SCPI;Sofidy;Immorente;part;01/03/2023;in_loyer_scpi;687,96;0;EUR;2022-Exceptionnel
8;SCPI;CORUM;EURION;part;01/01/2023;in_loyer_scpi;678,08;0;EUR;2023-01
10;SCPI;Sofidy;Efimmo;part;01/04/2023;in_loyer_scpi;675,2;0;EUR;2023-T1
26;Crowdlending;Raizers;Place des Etats-Unis par Pulsim;obligation;10/06/2024;in_versement_interet;666,66;0;EUR;-
8;SCPI;CORUM;EURION;part;01/12/2022;in_loyer_scpi;632,89;0;EUR;2022-12
8;SCPI;CORUM;EURION;part;01/02/2023;in_loyer_scpi;632,37;0;EUR;2023-02
8;SCPI;CORUM;EURION;part;01/03/2023;in_loyer_scpi;615,3;0;EUR;2023-03
8;SCPI;CORUM;EURION;part;01/08/2022;in_loyer_scpi;611,98;0;EUR;2022-08
23;Crowdlending;Raizers;Hotel Le Trayas par MEGA INVEST;obligation;18/10/2024;in_versement_interet;570,02;0;EUR;-
18;Crowdlending;Raizers;Chemin du Glacis par MV Invest;obligation;01/07/2025;in_versement_interet;550;0;EUR;-
23;Crowdlending;Raizers;Hotel Le Trayas par MEGA INVEST;obligation;08/04/2024;in_versement_interet;500;0;EUR;-
26;Crowdlending;Raizers;Place des Etats-Unis par Pulsim;obligation;07/04/2022;in_versement_interet;500;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/07/2024;in_versement_interet;498,9;0;EUR;-
24;Crowdlending;Raizers;La Passerelle par Neo City Promotion;obligation;11/10/2023;in_versement_interet;478,96;0;EUR;-
24;Crowdlending;Raizers;La Passerelle par Neo City Promotion;obligation;16/08/2023;in_versement_interet;475;0;EUR;-
23;Crowdlending;Raizers;Hotel Le Trayas par MEGA INVEST;obligation;02/10/2023;in_versement_interet;450;0;EUR;-
22;Crowdlending;Raizers;Hameau du Lac par Nature et Residence;obligation;31/01/2025;in_remboursement_capital;437,5;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/06/2023;in_versement_interet;430,8;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/01/2025;in_versement_interet;424,5;0;EUR;-
26;Crowdlending;Raizers;Place des Etats-Unis par Pulsim;obligation;07/10/2024;in_versement_interet;416,67;0;EUR;-
26;Crowdlending;Raizers;Place des Etats-Unis par Pulsim;obligation;12/12/2024;in_versement_interet;416,67;0;EUR;-
17;Crowdlending;Raizers;Chantemesle par SAS Negu;obligation;15/05/2024;in_versement_interet;407,14;0;EUR;-
22;Crowdlending;Raizers;Hameau du Lac par Nature et Residence;obligation;13/11/2024;in_versement_interet;388,56;0;EUR;-
22;Crowdlending;Raizers;Hameau du Lac par Nature et Residence;obligation;15/04/2024;in_versement_interet;350;0;EUR;-
22;Crowdlending;Raizers;Hameau du Lac par Nature et Residence;obligation;01/10/2025;in_versement_interet;350;0;EUR;-
8;SCPI;CORUM;EURION;part;01/05/2023;in_loyer_scpi;344,38;0;EUR;2023-05
19;Crowdlending;Raizers;Cote Sud par BG Promotion;obligation;07/05/2024;in_versement_interet;331,16;0;EUR;-
10;SCPI;Sofidy;Efimmo;part;01/12/2023;in_loyer_scpi;312,28;0;EUR;2023-T4
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/03/2023;in_versement_interet;311,2;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/04/2023;in_versement_interet;300;0;EUR;-
40;Crowdlending;ClubFunding;Saint-Jacques / SGM Persephone SAS;obligation;01/05/2025;in_versement_interet;289;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/07/2023;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/08/2023;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/09/2023;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/10/2023;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/11/2023;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/12/2023;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/01/2024;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/02/2024;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/03/2024;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/04/2024;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/05/2024;in_versement_interet;275,1;0;EUR;-
41;Crowdlending;ClubFunding;Casa Ibiza / Casalina SAS;obligation;01/06/2024;in_versement_interet;275,1;0;EUR;-
20;Crowdlending;Raizers;Gambetta par MV INVEST;obligation;02/10/2024;in_remboursement_capital;266,67;0;EUR;-
20;Crowdlending;Raizers;Gambetta par MV INVEST;obligation;27/12/2024;in_remboursement_capital;266,67;0;EUR;-
20;Crowdlending;Raizers;Gambetta par MV INVEST;obligation;28/01/2025;in_remboursement_capital;266,67;0;EUR;-
20;Crowdlending;Raizers;Gambetta par MV INVEST;obligation;15/11/2024;in_remboursement_capital;266,66;0;EUR;-
34;Crowdlending;Raizers;Villa Sainte-Anne par Fonciere Emeraude;obligation;10/07/2023;in_versement_interet;253,2;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/06/2023;in_versement_interet;252,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/05/2023;in_versement_interet;249,9;0;EUR;-
